symbol,age,outcome,r,gross_r,cost_r
AKE/USDT,4,+2R,1.8748011640051934,2.0,0.12519883599480672
AKE/USDT,48,BE,0.01463092677960462,0.1280489638307597,0.11341803705115508
AKE/USDT,11,BE,0.018826054707078627,0.16476446328910405,0.14593840858202542
AKE/USDT,21,data_quality_ambiguous,,,0.14845715345043572
AKE/USDT,246,+2R,1.8413548279318386,2.0,0.1586451720681614
AKE/USDT,4,+1R,0.8127275009413876,1.0,0.18727249905861246
AKE/USDT,22,+1R,0.9065164443492186,1.0,0.09348355565078137
AKE/USDT,0,BE,0.0148432769754418,0.12990743957578757,0.11506416260034577
AKE/USDT,17,+1R,0.8485317863124533,1.0,0.15146821368754665
AKE/USDT,2,Pending,,,
COTI/USDT,12,data_quality_ambiguous,,,0.059777889954568605
COTI/USDT,1,+1R,0.907934508816121,1.0,0.09206549118387897
COTI/USDT,103,+2R,1.9377216316565788,2.0,0.06227836834342104
COTI/USDT,10,+1R,0.8881558988764051,1.0,0.11184410112359483
COTI/USDT,35,+1R,0.8957307375925425,1.0,0.10426926240745749
COTI/USDT,15,SL,-1.2497821268020384,-1.082927375600675,0.16685475120136345
COTI/USDT,581,BE,0.005269228183842262,0.04611595829115127,0.04084673010730901
COTI/USDT,6,SL,-1.1459970989132424,-1.0489990329710788,0.09699806594216359
COTI/USDT,0,+1R,0.8801191178204995,1.0,0.11988088217950052
COTI/USDT,20,BE,0.022249930278878255,0.1947300099601593,0.17248007968128104
COTI/USDT,1,+1R,0.7376243980738244,1.0,0.26237560192617554
COTI/USDT,162,SL,-1.2867283913565406,-1.0952427971188448,0.1914855942376958
COTI/USDT,6,SL,-1.419471172962251,-1.1401570576540925,0.27931411530815853
COTI/USDT,333,+2R,1.8791887361716384,2.0,0.12081126382836159
COTI/USDT,720,+1R,0.8691766595289061,1.0,0.1308233404710939
ZEC/USDT,12,BE,0.04006339641888401,0.3506323609063229,0.31056896448743887
ZEC/USDT,66,+1R,0.6811003282660271,1.0,0.31889967173397293
ZEC/USDT,10,SL,-1.56983156013282,-1.190277186710941,0.37955437342187914
ZEC/USDT,6,SL,-1.5995864251163958,-1.1995288083721223,0.4000576167442735
ZEC/USDT,9,data_quality_ambiguous,,,0.4341895465573161
ZEC/USDT,23,zone_not_touched,,,
